variable,n,missing_n,missing_pct,mean,sd,median,iqr,min,max,unit
omron_sbp_mmHg,52,0,0.0,129.57692307692307,8.390812327979846,129.0,12.25,113.0,148.0,mmHg
omron_dbp_mmHg,52,0,0.0,82.6923076923077,5.015812101816014,83.0,6.25,70.0,94.0,mmHg
omron_hr_bpm,52,0,0.0,90.23076923076923,6.002010723917034,90.5,7.5,74.0,103.0,bpm
pulse_pressure_mmHg,52,0,0.0,46.88461538461539,4.988826126823848,47.0,7.25,37.0,58.0,mmHg
map_estimated_mmHg,52,0,0.0,98.32051282051283,5.8915254444849205,98.33333333333333,8.166666666666657,85.33333333333333,110.33333333333333,mmHg
env_temperature_C,52,0,0.0,20.492307692307694,3.419370779971084,20.15,4.325000000000003,14.5,27.6,degree C
env_humidity_pct,52,0,0.0,72.38461538461539,14.035185262025097,73.0,22.25,49.0,94.0,%
env_pressure_hPa,52,0,0.0,1012.6153846153846,2.801637099519802,1014.0,4.0,1007.0,1016.0,hPa
body_temperature_C,52,0,0.0,36.371153846153845,0.4285573329578854,36.4,0.30000000000000426,35.0,37.2,degree C
ppg_spo2_pct,52,0,0.0,96.57692307692308,1.1087204044046848,97.0,1.0,94.0,99.0,%
ppg_pulse_bpm,52,0,0.0,91.34615384615384,6.255615878159636,92.0,8.25,72.0,103.0,bpm
samsung_sbp_mmHg,50,2,3.8461538461538463,124.2,6.583839212458807,126.0,8.5,113.0,137.0,mmHg
samsung_dbp_mmHg,50,2,3.8461538461538463,80.98,3.899188821971533,81.0,5.75,74.0,88.0,mmHg
samsung_hr_bpm,50,2,3.8461538461538463,92.54,5.793064114674953,92.5,8.0,82.0,103.0,bpm
samsung_spo2_pct,50,2,3.8461538461538463,96.2,1.616244071283537,97.0,1.0,89.0,99.0,%
pm1,49,3,5.769230769230769,7.469387755102041,8.801283147019735,5.0,5.0,0.0,55.0,device units
pm2_5,49,3,5.769230769230769,11.040816326530612,11.42176136386421,8.0,7.0,0.0,72.0,device units
pm10,49,3,5.769230769230769,13.89795918367347,13.77232263448324,10.0,8.0,0.0,84.0,device units
sleep_duration_min,52,0,0.0,499.7692307692308,30.116515815858875,491.0,29.5,459.0,562.0,min
sleep_score,52,0,0.0,68.11538461538461,7.302037980776316,68.0,14.0,54.0,79.0,score
steps_daily,52,0,0.0,9535.576923076924,1568.9804525976367,9500.0,300.0,6850.0,12000.0,steps/day
pcg_duration_s,52,0,0.0,122.53361538461539,10.14211113915512,123.896,4.301000000000002,99.648,177.216,s
ecg_report_hr_bpm,52,0,0.0,90.5,6.047199967834733,90.0,7.25,71.0,104.0,bpm
