variable,missing_n,missing_pct
session_id,0,0.0
timestamp_local_iso,0,0.0
datetime,0,0.0
date_local,0,0.0
day_index,0,0.0
hour_decimal_local,0,0.0
time_of_day_category,0,0.0
raw_session_zip,0,0.0
sleep_duration_min,0,0.0
sleep_score,0,0.0
rem_pct,0,0.0
light_pct,0,0.0
deep_pct,0,0.0
awake_pct,0,0.0
steps_daily,0,0.0
omron_sbp_mmHg,0,0.0
omron_dbp_mmHg,0,0.0
omron_hr_bpm,0,0.0
pulse_pressure_mmHg,0,0.0
map_estimated_mmHg,0,0.0
rate_pressure_product,0,0.0
ppg_spo2_pct,0,0.0
ppg_pulse_bpm,0,0.0
samsung_sbp_mmHg,2,3.85
samsung_dbp_mmHg,2,3.85
samsung_hr_bpm,2,3.85
samsung_spo2_pct,2,3.85
samsung_rhythm_label,0,0.0
samsung_stress_label,0,0.0
samsung_stress_ordinal,3,5.77
env_temperature_C,0,0.0
env_humidity_pct,0,0.0
env_pressure_hPa,0,0.0
body_temperature_C,0,0.0
pm1,3,5.77
pm2_5,3,5.77
pm10,3,5.77
weather,0,0.0
wake_med_notes,44,84.62
activity,0,0.0
smoking_flag,0,0.0
coffee_flag,0,0.0
beer_flag,0,0.0
office_flag,0,0.0
meal_flag,0,0.0
pcg_sampling_rate_Hz,0,0.0
pcg_channels,0,0.0
pcg_sample_width_bytes,0,0.0
pcg_duration_s,0,0.0
pcg_file_size_bytes,0,0.0
annotation_duration_s,0,0.0
annotation_datetime_text,0,0.0
ecg_report_hr_bpm,0,0.0
ecg_report_check_time,0,0.0
ecg_report_last_marker,0,0.0
ecg_signal_reanalysable,0,0.0
measurement_level_note,0,0.0
qc_flag_any,0,0.0
qc_notes,0,0.0
